Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Class,2,1,2,1,14,1,6,6,1,8,0,0,2,12,8,12,12,12,0,0,0,221,37,91,25,57,93,37,55,25,30,8,3,8,5,1,2,86,1.02,27,18,27,16,HIGH
Public Class,3,3,3,1,14,0,13,0,1,8,0,1,1,9,6,10,10,0,0,0,10,165,18,142,26,89,5,69,107,26,81,18,18,20,1,1,4,78,0.04,36,36,38,10,HIGH
Public Class,3,3,4,2,13,0,12,0,1,9,0,0,2,21,19,21,21,0,1,0,20,350,26,282,52,200,42,144,212,53,159,27,27,62,21,1,6,89,0.15,65,65,103,44,HIGH
Class,3,2,4,2,16,3,13,0,1,2,0,0,0,11,5,11,11,11,0,0,0,210,47,156,23,106,9,67,95,23,72,23,15,31,10,1,2,50,0.06,39,30,47,22,HIGH
Public Class,2,2,2,1,9,0,8,0,1,5,0,1,1,6,2,7,35,0,2,0,5,100,11,62,16,41,27,31,47,16,31,8,8,12,5,2,3,80,0.44,15,15,19,11,HIGH
Public Class,2,2,2,1,11,0,9,2,1,19,0,2,0,22,3,24,46,0,0,0,24,375,50,268,61,155,57,145,205,73,132,11,11,12,3,3,3,66,0.21,53,53,56,26,HIGH
Public Class,5,5,5,1,47,2,40,6,1,13,0,0,1,2,1,2,18,0,0,0,2,216,15,175,38,126,28,94,124,37,87,10,10,10,1,2,3,25,0.16,11,11,11,2,HIGH
Public Class,4,4,5,1,21,0,21,0,2,5,0,0,0,4,2,4,4,0,2,0,2,95,5,90,20,68,0,49,69,20,49,8,8,9,1,1,4,50,0,19,19,22,4,HIGH
Public Class,1,1,1,1,17,1,8,7,1,13,0,1,0,4,2,5,30,0,0,0,5,123,11,48,14,27,64,20,30,13,17,5,5,5,5,2,1,19,1.33,9,9,9,9,HIGH
Public Class,1,1,1,1,16,2,8,4,3,28,0,0,5,35,14,35,35,0,0,1,34,666,151,328,96,224,187,175,240,84,156,6,6,7,4,2,4,91,0.57,59,59,60,38,HIGH
