Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,2,2,2,1,11,0,9,2,3,10,0,0,0,10,5,10,10,0,2,3,5,189,30,138,47,76,23,57,90,42,48,7,7,7,3,1,3,84,0.17,22,22,23,12,LOW
Public Class,4,4,4,1,36,4,28,4,1,3,0,4,2,0,0,4,4,0,1,0,3,173,22,124,28,92,27,66,86,22,64,8,8,8,4,1,3,75,0.22,19,19,19,7,LOW
Public Class,1,1,1,1,18,0,12,5,1,7,0,0,0,6,0,6,174,1,1,0,4,129,11,78,17,52,40,42,56,17,39,4,4,4,1,3,2,0,0.51,11,11,11,6,LOW
Public Static Class,1,1,1,1,4,0,4,0,1,3,0,0,0,1,0,1,14,0,0,0,1,6,0,6,3,2,0,2,4,3,1,1,1,1,1,2,0,0,0,1,1,1,1,LOW
Public Class,1,1,1,1,8,0,7,0,1,0,0,0,0,16,0,16,25,0,1,0,15,154,28,122,44,87,4,87,106,45,61,3,3,3,3,3,2,0,0.03,18,18,18,18,LOW
Public Class,2,2,2,1,14,0,7,7,1,4,0,0,1,11,6,11,11,0,0,0,11,230,25,87,22,49,118,38,66,23,43,4,4,4,3,2,3,67,1.36,23,23,23,13,LOW
Public Static Class,1,1,1,1,1,0,1,0,1,0,0,0,0,3,0,3,11,0,0,0,3,5,0,5,4,3,0,3,7,4,3,1,1,1,1,2,0,0,0,3,3,3,3,LOW
Public Class,1,1,1,1,3,0,3,0,1,1,0,1,0,3,1,4,4,0,1,0,3,43,12,17,6,6,14,6,12,6,6,2,2,2,1,1,1,25,0.82,5,5,5,4,LOW
Public Class,1,1,1,1,2,0,1,0,3,9,0,0,2,110,24,110,110,0,0,0,110,702,116,440,173,333,146,254,420,171,249,5,5,5,1,1,2,95,0.33,128,128,129,110,LOW
Public Class,6,5,7,2,37,4,29,3,1,11,0,5,23,24,19,29,29,1,22,1,5,1191,157,907,196,723,131,556,710,223,487,70,55,76,25,1,7,90,0.14,199,164,207,70,LOW
Public Class,1,1,1,1,6,0,5,1,1,1,1,3,0,24,3,27,27,0,0,0,27,225,54,141,30,55,30,52,83,30,53,3,3,3,3,1,1,14,0.21,30,30,32,29,LOW
Public Class,1,1,1,1,12,2,3,6,1,2,0,0,0,3,1,3,5,0,0,0,3,70,22,15,6,6,33,6,10,5,5,1,1,1,1,2,0,33,2.2,3,3,3,3,LOW
Private Class,1,1,1,1,6,0,3,3,2,2,0,0,0,1,0,1,1,0,0,0,1,9,0,6,3,1,3,1,3,2,1,1,1,1,1,1,0,0,0.5,1,1,1,1,LOW
Public Class,1,1,1,1,11,0,6,5,1,3,0,0,0,2,0,2,7,0,0,0,2,35,2,14,4,7,20,3,7,4,3,2,2,2,1,3,1,0,1.43,3,3,3,2,LOW
Public Class,2,2,2,1,14,1,9,4,1,1,0,0,0,4,0,4,4,0,1,0,3,120,19,53,18,25,50,23,37,17,20,5,5,5,1,2,1,0,0.94,8,8,8,4,LOW
Public Class,3,3,3,1,17,2,15,0,1,2,0,8,1,0,0,8,8,0,0,0,8,152,26,123,43,83,3,73,101,50,51,7,7,7,7,1,6,12,0.02,27,27,27,14,LOW
Public Class,3,2,4,1,51,24,26,0,1,8,0,0,0,5,4,5,19,0,0,0,5,273,132,139,16,106,3,63,88,17,71,8,6,9,1,3,2,60,0.02,18,12,22,5,LOW
Public Class,4,4,5,2,30,1,21,8,1,7,0,0,1,2,0,2,4,0,0,1,1,78,5,45,15,29,28,20,30,11,19,8,8,9,3,2,4,50,0.62,9,9,10,4,LOW
Public Class,1,1,1,1,12,0,7,4,1,1,0,0,0,4,2,4,4,0,0,0,4,58,9,33,11,18,16,15,23,9,14,3,3,3,1,2,2,25,0.48,7,7,7,4,LOW
Public Class,2,2,2,1,26,2,20,4,1,14,0,0,0,3,2,3,3,0,0,0,3,91,11,65,23,51,15,41,52,21,31,6,6,6,1,2,3,50,0.23,8,8,8,3,LOW
Public Class,2,2,2,1,7,0,7,0,1,2,42,0,0,10,2,10,37,0,0,4,6,98,14,80,17,47,4,32,56,18,38,6,6,6,1,2,3,80,0.05,23,23,23,10,LOW
Public Class,1,1,1,1,10,0,5,4,1,3,0,0,0,8,2,8,8,0,1,0,7,122,15,52,15,31,55,31,40,13,27,2,2,2,1,2,0,56,1.06,9,9,9,8,LOW
Public Class,1,1,1,1,5,0,3,1,2,3,0,0,0,2,0,2,2,0,0,0,2,16,4,9,3,3,3,2,5,3,2,1,1,1,1,1,0,0,0.33,2,2,2,2,LOW
Public Class,70,4,70,1,114,7,92,15,2,2,0,2,2,1,0,3,3,0,2,0,1,369,28,285,17,264,58,54,67,18,49,209,9,209,1,1,3,66,0.2,212,12,212,3,LOW
Public Class,1,1,1,1,7,0,6,1,1,4,0,0,1,2,0,2,11,0,0,1,1,35,4,17,8,7,14,5,9,5,4,2,2,2,1,4,1,100,0.82,3,3,3,2,LOW
Public Class,1,1,1,1,5,0,4,1,1,1,0,0,5,14,1,14,141,0,1,2,11,153,22,82,37,37,50,34,50,24,26,2,2,2,1,4,1,78,0.61,15,15,15,14,LOW
Public Class,1,1,1,1,9,0,3,6,1,3,0,0,0,2,0,2,8,0,0,0,2,30,4,9,3,3,17,2,5,3,2,1,1,1,1,2,0,0,1.89,2,2,2,2,LOW
Public Class,1,1,1,1,10,0,8,1,1,6,0,0,0,2,0,2,11,0,0,0,2,33,3,19,6,12,11,10,14,6,8,2,2,2,1,4,1,0,0.58,3,3,3,2,LOW
Public Class,1,1,1,1,4,0,4,0,1,1,0,1,0,0,0,1,1,0,0,0,1,22,0,6,3,2,16,2,4,3,1,1,1,1,1,1,0,0,2.67,1,1,1,1,LOW
Public Class,1,1,1,1,4,0,3,1,1,0,0,2,1,1,0,3,11,0,1,0,2,23,3,13,5,5,7,3,7,5,2,1,1,1,1,2,0,33,0.54,3,3,3,3,LOW
Public Class,1,1,1,1,7,0,2,4,2,1,0,0,1,6,0,6,64,0,0,0,6,55,6,22,9,6,28,6,13,8,5,1,1,1,1,3,0,100,1.27,6,6,6,6,LOW
Public Class,1,1,1,1,25,5,19,1,1,3,0,0,0,3,1,3,3,0,0,0,3,82,20,59,13,49,3,46,52,13,39,1,1,1,1,2,0,100,0.05,3,3,3,3,LOW
Public Abstract Class,2,2,2,1,18,0,6,10,1,7,1,0,0,43,1,43,72,0,0,5,38,765,24,280,88,172,473,181,258,101,157,7,7,8,7,4,3,47,1.69,86,86,90,57,LOW
Public Class,3,3,4,1,24,1,16,7,1,22,0,8,2,1,1,9,9,2,3,0,4,710,85,471,126,284,162,202,315,119,196,8,8,12,4,1,3,88,0.34,30,30,40,14,LOW
Private Class,1,1,1,1,3,0,3,0,2,1,0,0,0,6,1,6,6,0,0,0,6,36,8,28,10,10,0,9,17,8,9,2,2,2,1,1,1,16,0,7,7,8,6,LOW
Public Class,6,6,6,1,39,8,27,4,1,3,0,0,0,2,6,2,2,0,0,0,2,100,24,63,18,48,13,32,46,16,30,12,12,12,1,2,3,66,0.21,13,13,13,2,LOW
Public Class,1,1,1,1,9,0,7,1,2,10,0,4,2,23,5,27,27,12,2,0,13,307,45,198,48,100,64,81,139,58,81,4,4,4,4,1,2,84,0.32,47,47,47,33,LOW
Public Class,12,12,15,1,87,6,75,5,1,1,0,2,0,0,0,2,2,0,1,0,1,180,16,153,31,97,11,90,116,40,76,23,23,27,1,1,6,0,0.07,25,25,30,2,LOW
Public Abstract Class,1,1,1,1,10,0,4,5,1,2,12,0,0,13,4,13,42,0,0,3,10,173,21,68,19,33,84,29,51,19,32,5,5,5,1,4,1,61,1.24,21,21,23,13,LOW
Public Static Class,1,1,1,1,7,0,7,0,1,6,0,0,0,1,0,1,14,0,0,0,1,9,0,9,6,4,0,4,6,5,1,1,1,1,1,2,0,0,0,1,1,1,1,LOW
Public Class,1,1,1,1,3,0,3,0,2,5,0,0,0,5,0,5,5,0,0,0,5,24,6,18,7,5,0,5,11,6,5,1,1,1,1,1,0,0,0,5,5,5,5,LOW
Public Static Class,1,1,2,1,11,0,5,6,1,2,0,0,0,9,2,9,9,0,0,0,9,129,12,54,21,28,63,21,36,16,20,4,4,7,4,1,1,22,1.17,16,16,21,12,LOW
Public Class,1,1,1,1,7,0,3,4,1,2,0,0,1,2,0,2,26,1,0,0,1,42,3,9,4,3,30,3,6,4,2,1,1,1,1,3,0,50,3.33,2,2,2,2,LOW
Public Class,7,7,8,4,37,7,27,2,1,4,18,0,9,30,30,30,30,2,2,19,7,1517,332,1064,184,712,122,490,765,176,589,38,38,42,26,1,6,82,0.11,236,236,251,123,LOW
Static Generic Class,2,2,2,2,6,0,6,0,2,1,0,0,0,5,3,5,5,0,0,0,5,48,8,40,16,22,0,21,32,13,19,4,4,4,4,1,1,26,0,12,12,13,10,LOW
Public Class,1,1,1,1,9,0,7,2,1,4,1,2,1,2,0,4,17,0,0,2,2,58,10,32,11,18,16,15,22,10,12,1,1,1,1,5,0,75,0.5,4,4,4,4,LOW
Public Class,7,6,8,3,23,1,21,1,2,29,0,0,1,6,5,6,196,0,0,0,6,197,20,164,50,110,13,79,125,49,76,15,15,18,8,7,5,61,0.08,43,40,49,20,LOW
Private Class,2,2,2,1,10,0,9,2,1,2,1,0,0,7,5,7,7,0,2,0,5,89,12,70,21,61,17,47,66,21,45,5,5,5,4,2,2,74,0.24,19,19,19,10,LOW
Public Abstract Class,1,1,1,1,9,0,7,1,1,8,3,0,0,11,10,11,11,0,2,5,4,156,27,111,32,59,18,57,82,34,48,3,3,3,1,1,1,71,0.16,16,16,16,11,LOW
Public Class,1,1,1,1,3,0,3,0,1,2,0,0,0,1,0,1,19,0,0,0,1,11,0,5,2,1,6,1,3,2,1,1,1,1,1,2,0,0,1.2,1,1,1,1,LOW
Public Class,2,2,2,1,9,0,9,0,1,3,0,1,0,0,0,1,1,0,0,0,1,57,13,41,16,16,3,17,28,14,14,2,2,2,1,1,1,0,0.07,2,2,2,1,LOW
Public Class,1,1,2,1,20,0,12,7,1,4,0,2,3,3,3,5,9,0,1,1,3,149,13,69,23,41,68,23,33,14,19,5,5,7,3,3,1,63,0.99,9,9,13,7,LOW
Public Class,1,1,1,1,15,2,4,9,1,3,0,0,0,1,3,1,33,0,0,0,1,59,20,10,7,4,29,4,6,5,1,1,1,1,1,2,0,100,2.9,1,1,1,1,LOW
Public Class,1,1,1,1,16,2,11,3,2,3,0,0,0,2,4,2,2,0,0,0,2,75,9,51,12,29,15,33,39,12,27,1,1,1,1,2,0,0,0.29,2,2,2,2,LOW
Class,1,1,1,1,9,0,7,2,1,3,0,1,0,4,0,5,37,0,1,2,2,73,7,39,14,21,27,18,27,12,15,3,3,3,1,3,2,0,0.69,8,8,9,5,LOW
Public Class,2,2,2,1,14,2,12,0,1,2,0,4,3,0,0,4,4,0,1,0,3,70,15,55,20,38,1,29,39,17,22,4,4,4,1,1,2,66,0.02,10,10,11,4,LOW
Public Class,1,1,1,1,7,0,7,1,1,3,0,0,0,3,2,3,8,0,0,0,3,33,5,27,9,12,4,11,16,7,9,2,2,2,1,2,1,16,0.15,4,4,4,3,LOW
Public Generic Class,1,1,1,1,4,0,2,1,2,0,0,1,0,4,0,5,5,0,1,0,4,53,11,16,6,4,26,4,10,6,4,1,1,1,1,1,0,0,1.63,5,5,5,5,LOW
Public Class,5,5,5,2,38,6,22,10,1,4,0,0,1,3,3,3,3,0,0,0,3,150,33,77,19,55,40,41,58,19,39,6,6,6,4,1,2,16,0.52,15,15,15,8,LOW
Public Class,1,1,1,1,9,0,4,4,1,7,0,2,2,12,1,14,154,0,0,3,11,202,32,78,29,35,92,27,44,20,24,4,4,4,1,4,1,83,1.18,21,21,22,14,LOW
Public Class,1,1,1,1,8,0,3,5,1,0,0,0,0,1,0,1,8,1,0,0,0,17,1,5,2,1,11,1,3,2,1,1,1,1,1,2,0,0,2.2,1,1,1,1,LOW
Class,1,1,1,1,5,0,5,0,1,8,0,0,0,104,0,104,252,1,3,0,100,778,125,577,131,299,76,234,384,151,233,3,3,4,3,2,1,0,0.13,111,111,113,108,LOW
Public Class,1,1,1,1,3,0,3,0,1,4,0,0,0,2,0,2,3,0,0,0,2,22,5,9,4,3,8,3,6,4,2,1,1,1,1,2,0,0,0.89,2,2,2,2,LOW
Public Class,4,4,6,2,29,1,25,2,2,10,0,1,5,3,1,4,96,0,0,0,4,167,17,112,24,80,39,42,64,19,45,11,11,16,7,7,4,66,0.35,19,19,24,10,LOW
Public Class,1,1,1,1,11,0,5,5,2,5,0,0,2,17,0,17,75,0,0,0,17,226,20,102,35,53,107,41,70,33,37,4,4,4,1,3,2,88,1.05,28,28,28,17,LOW
Public Class,2,2,2,1,17,2,9,5,1,7,1,0,4,11,2,11,81,1,0,6,4,282,68,119,36,77,96,48,75,27,48,6,6,7,3,4,2,78,0.81,25,25,27,13,LOW
Public Class,1,1,1,1,3,0,3,0,3,24,0,0,1,49,6,49,49,0,0,0,49,247,56,178,71,63,13,66,118,60,58,2,2,2,1,1,1,86,0.07,51,51,51,49,LOW
Private Static Class,1,1,1,1,4,0,3,1,2,3,0,0,1,2,0,2,2,0,0,1,1,16,3,10,5,3,3,3,6,4,2,1,1,1,1,2,0,100,0.3,2,2,2,2,LOW
Public Class,6,3,7,4,23,2,20,1,2,2,0,0,0,7,6,7,193,0,2,0,5,191,27,153,23,119,17,80,101,18,83,39,12,42,23,6,3,69,0.11,48,21,51,29,LOW
Public Class,1,1,1,1,3,0,3,0,1,1,0,0,0,2,1,2,3,0,0,0,2,11,2,9,4,3,0,4,7,4,3,1,1,1,1,2,0,0,0,2,2,2,2,LOW
Public Class,4,4,5,1,30,2,19,8,3,19,0,5,8,49,1,54,54,0,44,0,10,1813,212,1088,217,756,536,474,750,216,534,26,26,33,10,1,4,94,0.49,245,243,276,97,LOW
Public Class,5,5,5,2,24,2,19,2,2,15,0,0,1,4,1,4,4,0,1,0,3,149,18,101,42,63,30,57,83,38,45,13,13,13,7,1,4,50,0.3,22,22,22,10,LOW
Private Class,2,2,2,1,11,0,11,0,1,0,0,0,0,1,0,1,1,0,0,0,1,14,1,13,2,6,0,2,7,3,4,2,2,2,1,2,0,0,0,2,2,2,1,LOW
Public Abstract Class,2,2,2,1,6,0,6,0,1,2,1,0,0,2,0,2,2,0,0,0,2,10,0,9,3,4,1,5,8,3,5,2,2,2,1,2,1,0,0.11,2,2,2,1,LOW
Private Static Class,1,1,1,1,5,1,4,0,2,3,0,0,0,1,0,1,1,0,0,0,1,10,1,6,3,2,3,2,4,3,1,1,1,1,1,1,0,0,0.5,1,1,1,1,LOW
Public Class,2,2,2,1,11,0,10,1,2,1,0,3,7,11,1,14,14,0,7,0,7,204,26,159,44,115,19,79,113,43,70,5,5,5,1,2,2,84,0.12,37,37,37,14,LOW
Class,1,1,1,1,4,0,3,1,1,2,0,0,0,3,0,3,48,0,0,2,1,31,4,12,4,4,15,4,8,4,4,1,1,1,1,3,0,0,1.25,3,3,3,3,LOW
Public Static Class,3,3,3,1,15,1,10,3,1,2,0,0,0,4,5,4,4,0,0,1,3,83,9,50,14,28,24,26,39,15,24,8,8,8,1,1,3,60,0.48,14,14,15,4,LOW
Public Class,1,1,1,1,8,0,7,1,1,7,0,0,0,8,0,8,51,0,0,5,3,102,14,77,29,42,11,30,46,22,24,2,2,3,1,3,1,0,0.14,11,11,12,8,LOW
Public Class,1,1,1,1,4,0,4,0,1,1,0,0,0,3,1,3,8,0,0,0,3,26,3,16,6,7,7,6,12,7,5,2,2,2,1,3,1,33,0.44,4,4,4,3,LOW
Public Class,1,1,1,1,8,0,3,5,1,0,0,0,1,2,0,2,4,0,0,0,2,37,5,9,4,3,23,3,6,4,2,1,1,1,1,3,0,100,2.56,2,2,2,2,LOW
Private Static Class,2,2,2,1,11,1,9,0,2,1,0,0,0,5,4,5,5,1,1,0,3,70,16,54,13,28,5,23,35,13,22,4,4,4,1,1,3,50,0.09,11,11,11,5,LOW
Private Static Class,1,1,1,1,4,0,4,0,1,1,0,0,0,2,2,2,2,0,0,0,2,24,2,13,6,5,9,7,10,6,4,1,1,1,1,1,0,0,0.69,2,2,2,2,LOW
Public Class,1,1,1,1,11,0,7,4,1,2,0,2,1,3,1,5,24,0,1,0,4,77,2,40,17,23,37,20,31,17,14,3,3,3,3,5,1,50,0.93,8,8,8,7,LOW
Public Class,1,1,1,1,9,0,9,0,1,7,0,0,0,6,1,6,6,1,1,0,4,92,12,75,30,43,5,42,58,28,30,4,4,4,3,1,2,50,0.07,11,11,11,8,LOW
Public Class,1,1,1,1,8,0,3,5,1,3,3,0,8,6,1,6,6,0,0,1,5,143,20,30,16,16,93,16,23,16,7,1,1,1,1,1,0,94,3.1,6,6,6,6,LOW
Public Class,1,1,1,1,6,0,5,0,1,10,0,0,7,12,1,12,40,0,0,10,2,165,25,123,66,58,17,36,59,28,31,4,4,4,1,4,1,91,0.14,19,19,20,12,LOW
Public Class,2,2,2,1,16,3,12,0,1,9,0,1,1,10,3,11,19,0,0,0,11,226,55,156,48,87,20,79,103,52,51,17,13,18,4,2,6,70,0.13,30,26,32,14,LOW
Public Class,5,5,5,1,28,1,26,1,1,15,0,0,0,4,1,4,17,0,2,1,1,127,8,106,35,79,13,60,83,32,51,16,16,16,1,2,5,75,0.12,22,22,22,4,LOW
Public Class,1,1,1,1,8,0,4,4,3,2,0,0,4,16,7,16,16,0,0,0,16,197,19,86,32,42,93,37,59,30,29,4,4,6,4,1,1,86,1.08,23,23,25,19,LOW
Public Class,1,1,1,1,13,0,4,8,1,6,0,0,0,15,1,15,83,0,0,4,11,237,1,67,20,32,169,29,50,20,30,3,3,3,3,5,1,33,2.52,20,20,21,17,LOW
Public Abstract Class,4,4,4,1,25,1,14,10,1,10,0,39,3,0,0,39,39,0,1,0,38,1212,123,652,202,451,458,362,592,210,382,26,26,28,13,1,8,95,0.7,169,169,194,76,LOW
Private Class,1,1,1,1,7,0,7,0,2,0,0,0,0,1,0,1,1,0,0,0,1,9,0,9,2,4,0,2,5,3,2,1,1,1,1,1,0,0,0,1,1,1,1,LOW
Public Class,2,2,2,1,8,0,6,1,2,5,0,0,1,7,3,7,7,0,0,0,7,78,10,53,20,32,15,31,46,18,28,4,4,4,1,1,1,32,0.28,14,14,18,7,LOW
Public Class,1,1,1,1,14,3,6,4,1,5,0,0,0,5,0,5,11,0,0,0,5,81,22,34,18,23,25,23,29,18,11,1,1,1,1,3,0,0,0.74,5,5,5,5,LOW
Public Class,1,1,1,1,3,0,3,0,1,4,0,0,1,8,1,8,8,0,0,0,8,50,8,33,13,15,9,15,24,13,11,2,2,2,1,2,0,75,0.27,9,9,9,8,LOW
Public Class,2,2,2,1,12,0,6,5,1,4,0,0,1,3,1,3,27,1,0,1,1,69,6,25,7,12,38,9,16,6,10,3,3,3,3,3,1,50,1.52,6,6,6,5,LOW
Public Class,2,2,2,1,65,29,28,9,1,7,0,0,1,4,9,4,9,0,0,0,4,292,134,126,32,104,40,89,97,30,67,3,3,3,3,3,1,60,0.32,8,8,8,6,LOW
Public Class,3,3,3,1,13,0,11,2,1,5,0,0,1,2,0,2,16,0,0,0,2,63,4,41,10,28,18,12,20,6,14,6,6,6,1,3,2,50,0.44,7,7,7,2,LOW
Public Class,2,2,3,1,20,1,10,9,1,15,0,0,0,22,2,22,99,0,0,5,17,526,26,236,62,161,271,128,192,70,122,13,13,15,4,5,1,61,1.15,58,58,67,30,LOW
Public Class,1,1,1,1,6,0,6,0,1,0,0,0,0,3,1,3,40,0,1,0,2,24,3,21,7,9,1,8,13,6,7,2,2,2,1,3,1,66,0.05,4,4,4,3,LOW
Class,1,1,1,1,3,0,3,0,2,4,0,0,0,9,0,9,9,0,0,0,9,43,12,31,11,11,0,11,21,11,10,1,1,1,1,1,0,0,0,9,9,9,9,LOW
Public Class,4,4,4,2,21,0,19,2,1,6,0,0,2,2,2,2,79,0,0,1,1,67,6,45,14,32,16,20,29,13,16,7,7,8,4,6,2,62,0.36,8,8,9,5,LOW
Public Class,1,1,1,1,15,0,4,10,1,6,0,0,0,15,1,15,96,0,0,5,10,293,1,67,20,32,225,29,50,20,30,4,4,4,3,5,1,26,3.36,23,23,24,17,LOW
Public Class,2,2,2,1,13,1,10,1,1,5,0,0,0,3,2,3,3,0,0,0,3,80,13,60,11,25,8,20,36,12,24,4,4,4,3,1,3,16,0.13,8,8,8,5,LOW
Private Class,1,1,1,1,12,0,5,7,1,4,0,0,0,4,3,4,4,0,0,0,4,67,6,27,11,10,34,12,18,8,10,2,2,2,1,1,1,16,1.26,5,5,5,4,LOW
Public Static Class,1,1,1,1,4,0,4,0,1,1,0,0,0,3,2,3,3,0,0,0,3,20,2,18,7,7,0,8,13,7,6,2,2,2,1,2,1,16,0,5,5,5,3,LOW
Public Class,3,3,3,1,26,3,14,8,2,5,0,7,0,1,0,8,8,0,1,0,7,233,39,117,17,78,77,59,86,20,66,8,8,8,1,1,3,0,0.66,31,29,31,8,LOW
Class,1,1,2,1,13,0,7,5,1,3,0,0,0,4,1,4,13,0,0,0,4,64,5,35,9,13,24,8,15,6,9,3,3,5,3,2,2,50,0.69,6,6,8,6,LOW
Public Class,2,2,2,1,6,0,6,0,2,12,1,0,1,20,7,20,41,0,0,1,19,186,26,146,38,85,29,64,107,34,73,8,8,8,4,2,3,83,0.2,40,40,44,25,LOW
Public Class,2,2,2,1,15,0,8,6,1,17,0,12,2,12,1,24,164,0,6,3,15,444,46,216,71,138,182,83,130,60,70,8,8,11,5,4,3,87,0.84,55,55,66,31,LOW
Public Abstract Class,2,2,2,1,16,1,12,3,1,5,3,0,4,5,1,5,28,0,1,0,4,134,19,88,42,51,27,41,60,35,25,4,4,4,3,3,2,68,0.31,13,13,13,7,LOW
Public Class,2,2,2,1,16,0,12,4,2,2,0,0,1,5,1,5,5,0,0,0,5,103,6,64,18,41,33,29,40,17,23,2,2,2,1,1,1,9,0.52,10,10,10,5,LOW
Public Abstract Class,1,1,1,1,10,0,4,5,2,6,1,1,8,25,6,26,26,0,0,9,17,380,65,143,50,72,172,70,106,47,59,3,3,3,1,1,2,91,1.2,35,35,35,26,LOW
Public Class,4,4,4,1,29,4,23,1,1,13,0,8,1,0,0,8,8,0,0,0,8,254,47,189,38,111,18,119,156,52,104,14,14,14,1,1,4,12,0.1,36,36,36,8,LOW
Public Class,1,1,1,1,12,0,3,8,2,2,0,2,0,6,1,8,8,0,0,2,6,109,1,33,12,14,75,15,24,12,12,1,1,1,1,2,0,25,2.27,8,8,8,8,LOW
Public Class,1,1,1,1,4,0,4,0,1,3,0,0,0,1,0,1,14,0,0,0,1,6,0,6,3,2,0,2,4,3,1,1,1,1,1,2,0,0,0,1,1,1,1,LOW
Private Class,4,4,7,4,52,3,26,23,2,1,0,0,0,1,0,1,1,0,0,0,1,54,3,28,4,21,23,13,18,4,14,4,4,7,4,1,1,0,0.82,4,4,7,4,LOW
Class,1,1,1,1,13,0,4,9,1,4,0,0,0,6,0,6,38,0,0,0,6,101,12,27,9,10,68,6,16,9,7,4,4,4,1,5,1,0,2.52,9,9,9,6,LOW
Public Static Class,2,2,2,1,15,1,13,0,1,0,0,0,0,2,0,2,9,1,0,0,1,34,4,30,12,16,0,13,18,8,10,3,3,3,1,3,2,0,0,4,4,4,2,LOW
Public Class,1,1,1,1,7,0,3,4,1,2,0,0,1,2,0,2,26,1,0,0,1,42,3,9,4,3,30,3,6,4,2,1,1,1,1,3,0,50,3.33,2,2,2,2,LOW
Static Class,2,2,2,1,8,0,8,0,1,1,0,0,0,4,2,4,15,0,0,1,3,41,4,37,12,21,0,25,37,15,22,4,4,4,4,2,2,25,0,11,11,11,7,LOW
Public Class,1,1,1,1,8,0,4,4,1,8,0,0,6,8,3,8,11,0,0,0,8,129,23,46,18,23,60,24,36,18,18,3,3,3,1,3,1,86,1.3,11,11,11,8,LOW
Public Class,1,1,1,1,10,0,5,5,1,2,0,0,1,5,1,5,61,0,0,0,5,75,8,30,8,15,37,12,21,8,13,2,2,2,1,4,1,90,1.23,8,8,8,5,LOW
Public Static Class,5,5,5,1,27,1,25,1,1,0,0,0,0,2,1,2,9,1,0,0,1,60,4,54,19,33,2,37,48,13,35,6,6,6,1,3,3,0,0.04,10,10,10,2,LOW
Private Class,1,1,1,1,4,0,4,0,1,6,0,0,0,3,0,3,3,1,0,0,2,15,0,15,7,6,0,6,10,6,4,2,2,2,1,2,1,0,0,4,4,4,3,LOW
Public Class,1,1,2,1,6,0,4,1,1,1,0,0,1,4,2,4,8,0,0,0,4,45,7,30,9,14,9,10,19,8,11,4,4,5,4,2,2,75,0.3,7,7,8,7,LOW
Private Static Class,1,1,1,1,2,0,2,0,2,7,0,0,1,6,0,6,6,0,1,0,5,19,1,15,9,6,3,7,13,8,5,1,1,1,1,1,0,100,0.2,6,6,6,6,LOW
Private Class,1,1,1,1,28,1,26,0,1,6,0,0,0,2,12,2,2,0,1,0,1,66,4,60,8,47,2,51,54,8,46,1,1,1,1,2,0,4,0.03,2,2,2,2,LOW
Public Class,2,2,2,1,11,1,7,2,1,8,0,1,1,8,1,9,9,0,0,0,9,131,25,70,25,40,36,33,53,26,27,4,4,5,3,2,2,61,0.51,19,19,20,11,LOW
Public Static Class,1,1,1,1,7,0,5,1,1,3,0,0,0,5,1,5,35,0,0,0,5,51,6,33,12,14,12,12,20,9,11,3,3,3,1,2,1,40,0.36,7,7,7,5,LOW
Public Class,1,1,1,1,9,1,6,1,2,9,0,0,0,3,0,3,8,0,0,0,3,49,7,23,7,14,19,8,12,5,7,1,1,1,1,3,0,0,0.83,3,3,3,3,LOW
Public Class,1,1,2,1,7,0,7,0,1,2,0,0,0,10,3,10,10,0,1,0,9,121,15,103,31,61,3,53,81,33,48,3,3,7,1,1,1,56,0.03,18,18,23,10,LOW
Class,1,1,1,1,5,0,4,1,1,2,0,0,0,3,0,3,48,0,0,2,1,33,5,17,5,7,11,6,11,4,7,2,2,2,1,3,1,0,0.65,4,4,4,3,LOW
Class,4,2,4,1,17,0,17,0,2,1,0,0,0,2,2,2,2,0,0,0,2,42,4,38,11,28,0,22,27,11,16,7,3,7,1,1,1,0,0,8,4,8,2,LOW
Public Class,1,1,1,1,5,0,5,0,1,3,0,0,0,1,0,1,14,0,0,0,1,17,0,7,4,3,10,3,5,4,1,1,1,1,1,2,0,0,1.43,1,1,1,1,LOW
Class,4,4,4,2,16,0,15,0,2,7,0,0,0,24,1,24,24,1,1,0,22,447,56,370,52,244,21,125,235,60,175,9,9,9,5,1,3,87,0.06,97,97,112,54,LOW
Public Class,1,1,1,1,11,0,7,4,1,12,0,0,1,9,2,9,12,0,1,0,8,156,13,76,27,43,68,32,48,21,27,6,6,6,3,2,3,70,0.89,17,17,17,11,LOW
Public Class,1,1,1,1,6,0,4,1,1,4,0,0,0,2,0,2,19,0,0,0,2,23,2,10,4,4,11,4,7,4,3,1,1,1,1,2,0,0,1.1,2,2,2,2,LOW
