Results	Entity	Line	Column	CheckID	Check Name
                  Called by too many functions (7)	ChainReaderHelper.getAssembledReader	118	18	METRIC_01	Program Unit Callby Count
                  Comment/Code Ratio too low (0%)	(Anon_1).close	167		METRIC_02	Program Unit Comment to Code Ratio
                  Comment/Code Ratio too low (0%)	(Anon_1).finalize	171		METRIC_02	Program Unit Comment to Code Ratio
                  Complexity(10) greater than allowed(5)	ChainReaderHelper.getAssembledReader	118	18	METRIC_03	Program Unit Cyclomatic Complexity
                  Complexity(13) greater than allowed(5)	ChainReaderHelper.expandReader	224	19	METRIC_03	Program Unit Cyclomatic Complexity
                  Max Length(60) Exceeded: 67 lines.	ChainReaderHelper.getAssembledReader	118		METRIC_04	Program Unit Max Length
                  Max Length(60) Exceeded: 69 lines.	ChainReaderHelper.expandReader	224		METRIC_04	Program Unit Max Length
                JavaClassHelper.java					
                  Fixed Value(0) used incorrectly	i	50	21	JAVA_01	Magic Numbers - Java
                  Fixed Value(1) used incorrectly	substring	58	44	JAVA_01	Magic Numbers - Java
                  Calling too many functions (10)	JavaClassHelper.getConstants	43	31	METRIC_00	Program Unit Call Count
              BaseFilterReader.java					
                Fixed Value(8192) used incorrectly	BaseFilterReader.BUFFER_SIZE	33	43	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	82	21	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	84	23	JAVA_01	Magic Numbers - Java
                Fixed Value(0L) used incorrectly	n	109	16	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	113	22	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	BaseFilterReader.read	114	27	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	171	19	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	177	22	JAVA_01	Magic Numbers - Java
                No exit point in method	BaseFilterReader.BaseFilterReader	49	11	JAVA_03	Single exit point at end
                No exit point in method	BaseFilterReader.BaseFilterReader	61	11	JAVA_03	Single exit point at end
                Multiple exit points from method	BaseFilterReader.read	80	21	JAVA_03	Single exit point at end
                Multiple exit points from method	BaseFilterReader.readLine	168	27	JAVA_03	Single exit point at end
                Multiple exit points from method	BaseFilterReader.skip	107	22	JAVA_03	Single exit point at end
