system_id,package,class,fullClassName,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
freecol,net.sf.freecol.client.gui.panel,DefaultTransferHandler.FreeColDragHandler,net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler,12,2,2,2,1,15,1,11,2,3,4,0,0,0,7,1,7,7,0,1,0,6,130,24,80,23,52,26,39,57,23,34,8,8,10,6,1,4,71,0.33,17,17,19,12,1
freecol,net.sf.freecol.common.networking,GetTransactionMessage,net.sf.freecol.common.networking.GetTransactionMessage,20,1,1,1,1,14,0,6,6,1,9,0,1,0,4,2,5,30,0,0,0,5,109,10,38,12,19,61,16,24,11,13,3,3,3,3,2,1,19,1.61,7,7,7,7,1
freecol,net.sf.freecol.client.gui.panel,BuildQueuePanel.BuildQueueTransferHandler,net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler,20,7,7,8,4,42,5,27,10,1,5,0,0,0,5,4,5,5,0,0,2,3,299,38,178,39,107,85,72,124,40,84,27,27,33,16,2,4,55,0.48,36,36,42,23,1
freecol,net.sf.freecol.server.ai.mission,UnitWanderHostileMission,net.sf.freecol.server.ai.mission.UnitWanderHostileMission,20,2,2,2,1,11,0,6,5,1,7,0,4,2,9,0,13,153,0,1,1,11,206,24,90,34,51,92,39,60,28,32,7,7,7,6,4,3,92,1.02,26,26,26,18,1
freecol,net.sf.freecol.common.model,SerializationTest,net.sf.freecol.common.model.SerializationTest,20,1,1,1,1,13,1,11,0,1,11,0,1,0,11,0,12,35,0,3,0,9,192,29,145,62,109,19,83,103,54,49,3,3,3,1,3,1,0,0.13,19,19,19,12,1
freecol,net.sf.freecol.client.gui.panel,DumpCargoDialog,net.sf.freecol.client.gui.panel.DumpCargoDialog,20,3,3,3,1,29,3,18,8,1,5,0,0,2,2,4,2,58,0,0,0,2,100,18,45,15,29,37,29,37,14,23,4,4,4,1,4,3,41,0.82,6,6,6,2,1
freecol,net.sf.freecol.common.option,FileOption,net.sf.freecol.common.option.FileOption,20,1,1,1,1,9,0,4,4,1,1,0,1,1,8,1,9,108,0,0,3,6,128,15,50,17,24,63,19,33,14,19,3,3,3,1,3,1,77,1.26,13,13,13,9,1
freecol,net.sf.freecol.client.gui.action,DisplayBordersAction,net.sf.freecol.client.gui.action.DisplayBordersAction,20,1,1,1,1,9,0,4,5,1,3,0,0,1,2,0,2,34,1,0,0,1,47,4,11,5,5,32,5,8,5,3,1,1,1,1,5,0,50,2.91,2,2,2,2,1
freecol,net.sf.freecol.common.networking,SetDestinationMessage,net.sf.freecol.common.networking.SetDestinationMessage,20,2,2,2,1,14,0,7,6,1,10,0,1,0,4,2,5,30,0,0,0,5,110,11,39,15,22,60,17,25,13,12,3,3,3,1,2,1,19,1.54,10,10,10,5,1
freecol,net.sf.freecol.server.model,DiplomacySession,net.sf.freecol.server.model.DiplomacySession,20,1,1,1,1,3,0,3,0,1,4,0,0,1,4,1,4,12,0,0,0,4,46,7,17,7,6,22,7,12,7,5,1,1,1,1,2,0,62,1.29,4,4,4,4,1
freecol,net.sf.freecol.server.networking,DummyConnection,net.sf.freecol.server.networking.DummyConnection,20,1,1,1,1,10,0,4,6,1,2,0,0,0,9,2,9,27,0,1,0,8,137,15,42,13,17,80,15,27,13,14,2,2,2,1,2,1,72,1.9,11,11,11,9,1
freecol,net.sf.freecol.common.networking,DiplomacyMessage,net.sf.freecol.common.networking.DiplomacyMessage,20,2,2,2,2,16,0,10,6,1,12,0,1,0,8,3,9,34,0,0,0,9,201,18,96,28,67,87,45,69,26,43,13,13,14,13,2,2,48,0.91,24,24,25,21,1
freecol,net.sf.freecol.common.model,TileImprovementType,net.sf.freecol.common.model.TileImprovementType,20,2,2,2,1,12,0,7,4,1,15,0,1,0,30,16,31,138,0,0,4,27,496,53,266,75,153,182,119,188,71,117,8,8,8,3,3,3,89,0.68,64,64,68,37,1
freecol,net.sf.freecol.common.model,EuropeanNationType,net.sf.freecol.common.model.EuropeanNationType,20,2,2,2,1,12,1,7,4,1,4,0,1,5,14,4,15,137,0,1,5,9,272,41,130,54,75,101,58,90,45,45,6,6,7,1,4,3,85,0.78,30,30,31,15,1
freecol,net.sf.freecol.common.networking,RenameMessage,net.sf.freecol.common.networking.RenameMessage,20,1,1,1,1,13,0,6,7,1,9,0,1,0,4,2,5,30,0,0,0,5,106,9,35,11,17,62,14,22,10,12,3,3,3,3,2,1,19,1.77,7,7,7,7,1
freecol,net.sf.freecol.client.gui.panel,StatisticsPanel,net.sf.freecol.client.gui.panel.StatisticsPanel,20,2,2,2,1,28,2,22,4,2,5,0,0,1,3,0,3,43,0,2,0,1,213,23,117,41,77,74,63,86,36,50,5,5,5,1,3,2,100,0.63,7,7,7,3,1
freecol,net.sf.freecol.common.networking,UpdateTradeRouteMessage,net.sf.freecol.common.networking.UpdateTradeRouteMessage,20,1,1,2,1,13,0,6,6,1,9,0,1,0,4,1,5,30,0,0,0,5,102,9,37,11,21,56,16,24,11,13,3,3,5,3,2,1,19,1.51,8,8,10,7,1
freecol,net.sf.freecol.client.gui.action,ReportColonyAction,net.sf.freecol.client.gui.action.ReportColonyAction,20,1,1,1,1,7,0,3,4,1,2,0,0,1,2,0,2,26,1,0,0,1,42,3,9,4,3,30,3,6,4,2,1,1,1,1,3,0,50,3.33,2,2,2,2,1
freecol,net.sf.freecol.common.model,HighScore.Level,net.sf.freecol.common.model.HighScore.Level,21,1,1,1,1,1,0,1,0,1,0,0,0,0,4,21,4,4,1,0,0,3,36,3,29,24,2,4,4,6,4,2,1,1,1,1,1,0,97,0.14,4,4,4,4,1
freecol,net.sf.freecol.server,SaveLoadTest,net.sf.freecol.server.SaveLoadTest,20,1,1,1,1,14,1,13,0,1,12,0,0,0,4,1,4,27,0,0,0,4,86,9,59,13,44,19,38,46,12,34,2,2,2,1,3,1,0,0.32,7,7,7,4,3
freecol,net.sf.freecol.common.option,AbstractOption,net.sf.freecol.common.option.AbstractOption,19,2,2,2,1,15,1,7,6,2,16,11,0,3,15,2,15,99,0,0,4,11,268,45,108,29,73,115,53,85,26,59,18,18,18,1,2,1,88,1.06,31,31,33,12,1
freecol,net.sf.freecol.common.networking,BuyPropositionMessage,net.sf.freecol.common.networking.BuyPropositionMessage,20,2,2,2,1,18,0,10,7,1,11,0,1,0,5,4,6,31,0,0,0,6,160,14,71,19,42,75,31,44,16,28,6,6,6,6,2,1,29,1.06,12,12,12,11,1
freecol,net.sf.freecol.client.gui.panel,MainPanel,net.sf.freecol.client.gui.panel.MainPanel,20,4,4,4,1,50,10,34,6,1,11,0,0,1,1,0,1,41,0,0,0,1,77,13,37,13,31,27,28,32,12,20,4,4,4,1,3,1,100,0.73,4,4,4,1,1
freecol,net.sf.freecol.client.gui.panel,EuropePanel.EuropeButton,net.sf.freecol.client.gui.panel.EuropePanel.EuropeButton,20,1,1,1,1,16,0,16,0,1,1,0,0,0,1,0,1,1,0,0,0,1,19,1,18,4,13,0,9,11,3,8,1,1,1,1,2,0,0,0,1,1,1,1,1
freecol,net.sf.freecol.client.gui.option,FreeColActionUI,net.sf.freecol.client.gui.option.FreeColActionUI,20,1,1,1,1,12,0,7,4,2,4,0,3,0,7,6,10,23,0,0,0,10,261,48,148,42,88,71,82,116,40,76,3,3,5,1,2,1,71,0.48,15,15,18,10,1
freecol,net.sf.freecol.server.control,ChangeSet.AttributeChange,net.sf.freecol.server.control.ChangeSet.AttributeChange,12,1,1,1,1,9,0,3,5,1,3,0,0,0,6,2,6,15,0,0,0,6,70,6,28,11,10,36,10,17,9,8,1,1,1,1,2,0,50,1.29,6,6,6,6,1
freecol,net.sf.freecol.common.model,Tension.Level,net.sf.freecol.common.model.Tension.Level,21,1,1,1,1,1,0,1,0,1,0,0,0,0,4,6,4,4,1,0,0,3,20,3,14,9,2,3,4,6,4,2,1,1,1,1,1,0,91,0.21,4,4,4,4,1
